Full Time,9.662449836730957,,,,,,,,,,,,,,,
Full Distance,1320,,,,,,,,,,,,,,,
Base Speed,2.5,,,,,,,,,,,,,,,
int,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2,,,,,
72,1644502850.8768206,686.0,702.0,0.3,500.0,16.0,0.08186788792469124,826.0854290086953,5.329758644104004,4.367998123168945,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
73,1644502850.886375,686.0,702.0,0.3,500.0,16.0,0.08186788792469124,826.0854290086953,5.289685249328613,4.367998123168945,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
74,1644502850.8936932,686.0,702.0,0.3,500.0,16.0,0.08186788792469124,818.8958314581884,5.289685249328613,4.367998123168945,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
75,1644502850.9068027,686.0,702.0,0.3,500.0,16.0,0.08186788792469124,818.8958314581884,5.289685249328613,4.408071517944336,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
76,1644502850.9205415,683.0,704.0,0.3,500.0,21.0,0.10727885564840274,818.8958314581884,5.369832515716553,4.488218307495117,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
77,1644502850.9283369,683.0,704.0,0.3,500.0,21.0,0.10727885564840274,818.8958314581884,5.369832515716553,4.488218307495117,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
78,1644502850.9368534,683.0,704.0,0.3,500.0,21.0,0.10727885564840274,822.6273901715714,5.369832515716553,4.488218307495117,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
79,1644502850.9402988,683.0,704.0,0.3,500.0,21.0,0.10727885564840274,818.1191915960223,5.369832515716553,4.488218307495117,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
80,1644502850.943606,685.0,704.0,0.3,500.0,19.0,0.09712929786810859,818.1191915960223,5.369832515716553,4.488218307495117,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
81,1644502850.9569323,685.0,709.0,0.3,500.0,24.0,0.12246105741734142,818.1191915960223,5.530126094818115,4.688584804534912,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
82,1644502850.9659986,685.0,709.0,0.3,500.0,24.0,0.12246105741734142,818.1191915960223,5.530126094818115,4.688584804534912,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
83,1644502850.9746838,685.0,709.0,0.3,500.0,24.0,0.12246105741734142,818.1191915960223,5.570199489593506,4.768731594085693,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
84,1644502850.9935484,685.0,709.0,0.3,500.0,24.0,0.12246105741734142,818.1191915960223,5.530126094818115,4.768731594085693,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
85,1644502851.023936,685.0,709.0,0.3,500.0,24.0,0.12246105741734142,814.1945976207161,5.6102728843688965,4.848878383636475,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
86,1644502851.0314844,685.0,709.0,0.3,500.0,24.0,0.12246105741734142,814.1945976207161,5.650346279144287,4.929025173187256,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
87,1644502851.0554998,683.0,709.0,0.3,500.0,26.0,0.13255153229667402,814.1945976207161,5.690419673919678,4.929025173187256,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
88,1644502851.0746064,683.0,709.0,0.3,500.0,26.0,0.13255153229667402,810.0846491128711,5.690419673919678,4.929025173187256,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
89,1644502851.083376,683.0,709.0,0.3,500.0,26.0,0.13255153229667402,810.0846491128711,5.81063985824585,5.049245357513428,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
90,1644502851.102884,683.0,713.0,0.3,500.0,30.0,0.15264932839526515,810.0846491128711,5.81063985824585,5.049245357513428,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
91,1644502851.1160445,683.0,713.0,0.3,500.0,30.0,0.15264932839526515,810.0846491128711,5.890786647796631,5.089318752288818,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
92,1644502851.1239538,683.0,713.0,0.3,500.0,30.0,0.15264932839526515,810.0846491128711,5.890786647796631,5.129391670227051,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
93,1644502851.170459,683.0,713.0,0.3,500.0,30.0,0.15264932839526515,802.5595995488594,5.9308600425720215,5.289685249328613,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
94,1644502851.2118626,683.0,713.0,0.3,500.0,30.0,0.15264932839526515,820.1335395160161,6.011006832122803,5.249611854553223,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
95,1644502851.2350507,683.0,713.0,0.3,500.0,30.0,0.15264932839526515,820.1335395160161,6.051079273223877,5.329759120941162,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
